"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
-2.927926941,-3.377648769,-2.782699298,-2.650459965,-2.80190027,-4.883077149,-3.005926982,-3.371066677,-3.389843259,-0.838357983,-1.334062189,-1.910148218,-3.269841368,-1.773400454,-2.400913973,-2.200683609,-0.973770027,-1.217126113,-1.943877655,-1.26483795,-3.752236407,-3.703567505,-1.900864164,-3.757240338,-4.949246368,-4.069352778,-3.547955578,-3.431950294,-2.811159526,-6.848196154
-4.73990743,-2.561699752,-2.241199798,-2.158601493,-1.346241418,-2.358926849,-2.505554999,-2.614522199,-3.611542878,-2.139963124,-3.814740721,-3.511772727,-5.365722237,-3.668478743,-3.166280817,0.063703512,-8.095018397,-4.378192781,-1.993684058,-4.184939863,-1.645660483,-2.770995929,-0.475093725,-1.320219637,-0.635377698,-3.061567542,-3.76582618,-1.364888442,-3.155619002,-9.97981559
-3.565255286,-3.65858844,-3.532845152,-3.401899321,-2.615421923,-5.064579975,-3.793533287,-4.601673296,-1.901721245,-1.658941613,-3.141635402,-3.025671563,-4.727012587,-5.058625421,-4.007423736,-3.328192245,-4.787064341,-5.957718023,-3.775084086,-4.889862003,-2.394190596,-3.694814519,-2.300055129,-3.020159051,-5.12826751,-2.932777256,-2.58244978,-2.301873564,-2.950830689,-3.964368513
-1.926290329,-2.159668866,-2.443639671,-1.820366626,-1.257673474,-3.814887781,-2.356587409,-3.389833662,0.158435133,-0.140767854,-2.720283868,-2.78525085,-3.127221998,-5.363870828,-4.075204676,-3.527070679,-3.363003646,-6.747563559,-4.327350002,-4.886154442,-0.549111078,-1.450461204,-2.549867349,-3.395421084,-5.826444643,0.672109191,1.533705907,0.440178371,-1.017473248,-0.419207839
-3.368331672,-2.051108012,-2.661807653,-2.008378498,-2.162973246,-4.267437049,-2.606098046,-3.478987713,-1.666872923,-2.227351217,-3.159612009,-2.768734918,-3.134293341,-4.380606939,-3.615701975,-2.605160484,-5.298952136,-5.352146291,-3.142783201,-4.508428789,-1.298475372,-2.754571339,-1.14610981,-2.098001924,-3.598889361,-1.16465005,-0.853908312,-0.825354019,-1.915222874,-2.8489536
-2.520479228,-3.286230931,-3.066624636,-2.126333312,-1.345349199,-2.353950224,-2.161633626,-2.345766348,-1.418786847,-1.651807234,-2.961705269,-2.666695019,-4.753780792,-4.438307959,-2.740502373,-2.643180634,-5.120759202,-6.202781219,-2.935587592,-4.308536146,-1.555915111,-5.449713431,-1.661616333,-2.310971592,-3.554925588,-2.167335115,-3.070638395,-2.749877543,-2.410583958,-3.695284236
1.333595681,-1.279100807,0.550238986,0.472137538,0.113243806,1.616089052,0.460162315,0.962435872,-0.014813154,-1.26104289,1.240405743,1.144811792,3.398095741,-0.265335485,-0.271057603,0.317204117,-2.548016091,-2.63306491,0.215489527,-1.057215445,-0.972538937,-0.271415136,0.780348005,-1.033465682,-1.354970443,1.542540986,-0.164680426,1.578569032,-1.214691755,-2.82109696
-0.769466955,-2.102704453,-2.041548164,-1.036502929,-1.376092328,-2.606186121,-1.434369023,-1.290629029,-1.409688387,-0.384411926,-0.506831989,-0.987255666,-3.023971357,-2.196695644,-2.351789139,-2.117073262,-2.838672379,-3.067074176,-1.835080433,-1.768651687,-2.426930797,-2.339754564,-1.296030529,-3.018724375,-3.558751111,-0.787729132,-2.089802006,-1.992581769,-0.06252569,-4.675587107
-2.464415903,-2.509991744,-2.543584059,-2.006143129,-1.646990111,-3.292005456,-2.456103558,-2.940486076,-1.726501233,-1.972955964,-2.721296889,-2.389613939,-3.526178023,-4.738273912,-3.330436349,-2.987047269,-5.67912904,-5.880078423,-3.265209464,-4.729077338,-0.950097352,-3.652667201,-1.164005204,-1.458602075,-2.977867537,-0.928593882,-1.379397313,-1.953209079,-1.660054247,-2.453397443
-4.41429234,-2.597520271,-1.997862624,-2.059223136,-2.566192517,-3.86978872,-2.743353903,-3.253152743,-2.420859944,-1.900306545,-2.760095238,-2.292053338,-3.457691089,-3.646226996,-4.061688053,-1.931634874,-5.709626074,-4.899053896,-2.283883351,-4.19179469,-1.205313487,-1.351645929,-0.737159655,-1.615360787,-1.925685857,-1.944226571,-1.433668355,-0.733586808,-2.042472694,-4.104222532
